Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_Kochalski   26 pol 15  2  2  1 24 990 351 343 411   2   0  189   0   9   6   0   0   0   0   0   0   0   0 100
F_Buntic      29 cro 14  1  1  1 22 892 452 331 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Ramazanov   24 aze 13  1  1  1 20 882 255 555 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Bayramov    25 aze  1 16  5  4 18 410 226 243 319   2   0  189   0   0   0   4   1   1   0   0   0   0   0  86
Kevin_Medina  33 col  1 15  5  1 36 110   3  36 440   1   0    8   0   0   0   0   0   0   0   0   0   0   0 100
E_Cafar'liyev 26 aze  1 15  5  4 20 321 393 202 555   2   0  189   0   0   0   2   2   0   0   0   0   0   0  86
B_Mustafazada 29 aze  1 15  4  1 36 234 394 517 707   2   0  189   0   0   0   8   0   0   0   0   4   0   0  86
Matheus_Silva 29 bra  1 15  5  4 22 307  13  20 746   2   1  181   0   0   0   3   0   2   0   0   0   0   0  90
Dani_Bolt     27 bra  1 14  4  3 20 363 587 812 497   1   0   95   0   0   0   1   1   0   0   0   0   0   0  93
Kady_Borges   30 bra  1  2 15  5 22 349 272 545 502   1   0   94   0   0   0   0   0   0   0   0   0   0   0 100
Pedro_Bicalho 25 bra  1  6 15  3 36 385 411 751 320   2   0  140   0   0   0   0   4   0   0   0   2   0   0  93
Joni_Montiel  28 spa  1  2 15  5 20 263 647  78 763   2   1  107   0   0   0   0   2   0   0   0   0   0   0 100
Chriso        27 ivo  1  4 15  4 30 318 961 195 422   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Jankovic    31 mon  1  4 14  4 26 454 968 328 739   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Cabray'zada 19 aze  1  2 14  5 20 541 526 464 494   1   1   37   0   0   0   0   4   0   0   0   0   0   0 100
L_Andrade     27 por  1  1  5 16 24 331 810 606 310   2   0  189   0   0   0   0   1   3   0   0   0   0   0  86
E_Addai       25 gha  1  1  4 15 21 750 997 367 562   1   0   94   0   0   0   0   0   0   0   0   0   0   0 100
Camilo_Duran  25 col  1  3  5 15 30 112 617 170 447   1   0   94   0   0   0   0   0   0   0   0   0   0   0 100
M_Qurbanly    24 aze  1  3  4 15 28 120 320 894 401   2   0  152   0   0   0   0   1   5   0   0   0   0   0  93
O_Kashchuk    26 ukr  1  1  6 14 20 326 434  29 740   2   1   82   0   0   0   1   0   1   0   0   0   0   0 100
R_Sheydayev   30 aze  1  3  4 15 32 230 423 780   9   1   1   50   0   0   0   0   1   3   0   0   0   0   0 100
