Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
H_Crombrugge  34 BEL 16  1  1  1 19 379 400 400 400   4   0  382   0  23  10   0   0   0   0   0   0   0   0 100
L_Brughmans   18 BEL 15  1  1  1 18 522 390 390 390   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matte_Smets   23 BEL  1 17  6  3 37 510 284 501 753   3   0  287   0   0   0   6   3   2   1   0   4   0   0 100
Z_El_Ouahdi   25 MOR  1 16  5  4 20 490  47  30 629   4   1  337   0   0   0   5   2   1   0   0   4   0   0  89
Mujaid_Sadick 27 SPA  1 15  5  3 35 500 907 987 574   3   0  285   0   0   0   5   0   1   0   0   2   0   0  93
J_Kongolo     21 BEL  1 15  5  1 38 250 728 337 914   3   0  245   0   0   0  10   0   1   0   0   0   0   0 100
J_Kayembe     32 COD  1 14  4  4 21 470 271 830 557   4   1  277   0   0   0   6   2   1   0   0   0   0   0  93
K_Karetsas    19 GRE  1  4 17  6 22 390 457 550 527   3   0  287   0   0   0   0   6   5   2   2   0   0   0  85
Brian_Heynen  30 BEL  1  4 16  4 23 370 908 306 934   4   1  324   0   0   0   1  10   1   0   2   4   0   0  85
I_Bangoura    23 GUI  1  6 16  2 33 370 171 125 659   3   0  258   0   0   0   3   6   0   0   0   2   0   0 100
N_Sattlberger 23 AUT  1  6 16  2 32 370 178 291 694   3   0  250   0   0   0   1   3   1   0   0   2   0   0  85
P_Hrosovsky   35 SER  1  3 14  4 28 490 410 668 560   2   0   90   0   0   0   0   2   0   0   0   0   0   0 100
Ken_Nkuba     25 BEL  1  2 14  5 22 250 720 960 255   3   3  131   0   0   0   0   3   1   0   1   0   0   0 100
T_Arokodare   26 NIG  1  3  5 17 22 320 755  90  91   4   1  337   1   0   0   1   1  14   6   0   0   0   0  88
J_Steuckers   25 BEL  1  1  6 16 20 300 620 157 609   4   0  293   0   0   0   0   1  10   0   0   0   0   0  90
Yira_Sor      26 NIG  1  1  4 15 22 310 614 908 750   3   1  229   0   0   0   0   0   2   0   0   4   0   0  93
N_Sternberg   21 BEL  1  1  5 14 21 310 840 164 395   2   0  190   0   0   0   0   3   2   0   0   0   0   0  93
