Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Fabio         45 bra 13  1  1  1 22 566 960 167 677   2   0  191   0  10   2   0   0   0   0   0   0   0   0 100
Vitor_Eudes   27 bra 11  1  1  1 20 294 215 501 573   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Pitaluga    23 bra 11  1  1  1 20 962 420 189 793   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Thiago_Silva  41 bra  1 14  6  1 40 658 257 435 502   2   0  191   0   0   0   1   1   0   0   0   0   0   0  86
J_Freytes     26 arg  1 13  5  1 36 154 614 149 551   2   0  191   0   0   0   5   0   0   0   0   0   0   0  86
Ignacio       29 bra  1 12  6  1 36 770 617  26 470   1   0   96   0   0   0   0   3   1   0   0   0   0   0 100
Manoel        36 bra  1 12  4  1 38 924 949 231 279   1   0   96   0   0   0   0   0   0   0   0   2   0   0 100
Samuel_Xavier 36 bra  1 12  5  4 22 313 435 960 337   2   0  140   0   0   0   3   0   1   0   0   0   0   0  93
Guga          27 bra  1 12  5  4 20 289 272 412 575   2   1   96   0   0   0   1   1   2   0   0   0   0   0 100
Diogo_Barbosa 33 bra  1 12  5  4 22 466 308 411 906   1   1   50   0   0   0   1   0   0   0   0   0   0   0 100
Rene          33 bra  1 11  5  3 22 843 934 354 217   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Andre         25 bra  1  6 14  4 32 495 635 967 961   2   0  191   1   0   0   1   3   4   2   0   2   0   0  86
Ganso         36 bra  1  2 13  7 22 529 549 495 351   2   0  191   0   0   0   0   4   5   0   1   2   0   0  86
Lima          30 bra  1  3 12  5 26 494 460 724 145   2   0  191   0   0   0   0   6   0   0   1   0   0   0  86
Nonato        28 bra  1  4 12  5 26 915 572 433 204   2   0  191   0   0   0   0   3   4   1   0   0   0   0  86
Jhon_Arias    28 col  1  1  6 14 20 938 543 877 664   2   0  152   0   0   0   0   0   5   1   0   0   0   0  93
Canobbio      27 uru  1  1  5 13 20 537 626 860 937   2   1   84   0   0   0   1   0   4   1   0   0   0   0 100
G_Cano        38 arg  1  3  4 13 30 948 451 816 497   1   1   50   0   0   0   0   0   0   0   0   0   0   0 100
Keno          36 bra  1  1  5 12 20 952 952 231 769   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kevin_Serna   28 col  1  1  5 12 18 482 484 888 907   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Everaldo      35 bra  1  3  4 12 30 773 816 106 717   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kaua_Elias    20 bra  1  2  4 12 20 881 378 277 977   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Isaac         22 bra  1  1  4 11 18 147 953 220 630   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
