Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
U_Simon       29 ESP 17  1  1  1 17 660 420 420 420   2   0  191   1  17   4   0   0   0   0   0   0   0   0 100
J_Agirre'bala 26 ESP 14  1  1  1 20 536 233 190 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dani_Vivian   27 ESP  1 17  6  2 27 510 223  82 679   2   0  191   0   0   0   3   1   2   0   0   2   0   0  86
Y_Alvarez     32 ESP  1 16  4  3 26 530 513 670 437   1   0   95   0   0   0   0   0   1   0   0   0   0   0 100
Alton_Parades 27 ESP  1 16  6  2 29 540 184 359 595   1   0   95   0   0   0   2   0   0   0   0   0   0   0 100
A_Rengel      25 ESP  1 15  5  2 27 480  50  82 525   2   0  141   0   0   0   2   2   0   0   0   0   0   0  93
A_Capa        34 ESP  1 15  5  3 26 490 838 607 369   2   1  146   0   0   0   2   2   0   0   0   2   0   0  93
D_Vesga       33 ESP  1 15  6  3 26 470 668 408 397   1   0   45   0   0   0   1   0   1   1   0   0   0   0 100
I_Lekue       33 ESP  1 15  5  3 25 460 668 411 380   1   1   51   0   0   0   1   0   0   0   0   0   0   0 100
M_Jauregizar  23 ESP  1  3 17  6 21 360 839 754 198   2   0  191   0   0   0   1   9   3   0   0   2   0   0  86
Oihan_Sancet  27 ESP  1  3 16  6 21 390 698 192  33   1   0   95   0   0   0   0   2   0   0   0   2   0   0 100
Gerson        30 BRA  1  4 16  6 28 292 796 808 782   1   0   95   0   0   0   0   1   2   0   0   2   0   0 100
Unai_Gomez    24 ESP  1  2 15  6 23 370 786 364 265   1   0   96   0   0   0   0   2   0   0   1   0   0   0  93
Benat_Prados  26 ESP  1  4 15  6 22 370 710 970  45   1   0   45   0   0   0   0   0   1   0   0   0   0   0 100
K_Laimer      31 AUT  1  5 15  3 28 373 419 494 141   1   1   51   0   0   0   0   2   0   0   0   0   0   0 100
I_R_Galarreta 33 ESP  1  4 14  4 24 380 520 605 400   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Vesga       34 ESP  1  6 14  3 36 470 630 355 310   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
I_Williams    32 GHA  1  2  3 17 21 310 528 486 544   2   0  191   0   0   0   0   0   9   0   0   2   0   0  86
Beto          30 POR  1  2  4 17 26 205 684 916 901   2   0  191   0   0   0   0   1  10   0   0   2   0   0  86
M_Sannadi     26 MOR  1  2  4 16 23 330 650 980 429   2   0  152   0   0   0   0   0   6   0   0   0   0   0  93
A_Berenguer   31 SPA  1  2  5 15 21 266 611  45 451   1   1   39   0   0   0   0   0   2   0   0   0   0   0 100
