Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Daniel_Peretz 25 isr 16  1  1  1 20 180 805 305 305   1   0  128   0   8   0   0   0   0   0   0   0   0   0 100
Alex_McCarthy 36 eng 16  1  1  1 18 515 251 251 251   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
George_Long   32 eng 16  1  1  1 32 842 373 801 311   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_H-Bellis    24 eng  1 18  5  1 38 983 312  26 784   1   0  128   0   0   0   0   0   0   0   0   0   0   0  85
Elias_Jelert  22 den  1 17  5  5 16 960 204 320 573   1   0  128   0   0   0   0   0   0   0   0   0   0   0  85
Nathan_Wood   23 eng  1 16  5  1 38 712 413  92 742   1   0  128   0   0   0   1   0   0   0   0   0   0   0  85
Mads_Roerslev 26 den  1 16  5  4 16 570 950 606 572   1   0  128   0   0   0   3   0   0   0   0   0   0   0  85
J_Quarshie    21 ger  1 16  5  1 36 423 984 910 624   1   0   45   0   0   0   2   0   0   0   0   0   0   0 100
Wellington    25 bra  1 16  6  4 20 220 941  13 996   1   1   83   0   0   0   1   1   0   0   0   0   0   0  96
Ryan_Manning  29 ire  1 16  4  4 20 110 880 880 880   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Kayi_Sanda  19 fra  1 15  5  1 38  90 950 955 233   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Finn_Azaz     25 ire  1  2 18  5 18 305 955 130 896   1   0  128   0   0   0   1   0   0   0   0   0   0   0  85
Flynn_Downes  27 eng  1  5 17  2 38 110 912 255 505   1   0  128   0   0   0   0   3   0   0   0   2   0   0  85
Shea_Charles  22 nir  1  5 17  2 36 310 215 832  19   1   0  128   0   0   0   0   1   1   0   0   2   0   0  85
Caspar_Jander 23 ger  1  4 17  4 27 305 614 343 111   1   0   45   0   0   0   0   0   0   0   0   0   0   0 100
Leo_Scienza   27 bra  1  2 17  5 16  96 788 940 624   1   1   83   0   0   0   0   1   0   0   0   2   0   0  96
Tom_Fellows   22 eng  1  2 16  5 16 110 650 650 320   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Matsuki     22 jap  1  2 16  4 20  90 550 500 500   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Archer      24 eng  1  3  5 17 30 593  91 943 677   1   0  128   0   0   0   1   1   6   0   0   0   0   0  85
Jay_Robinson  19 eng  1  1  5 16 20 472 188 934 969   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Samuel_Edozie 23 eng  1  2  5 16 20 916 211 335  12   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Cyle_Larin    31 can  1  3  5 16 30 343  71 347 732   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ross_Stewart  29 sco  1  3  4 16 32 110 320 975 117   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
