Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
Vinicius      33 bra 28  1  1  1 20 179 595 595 595   7  72   0   0   0   0   0   0   0   0 100
Harry_Lee     21 eng 14  1  1  1 22 496 109 488 697   0   0   0   0   0   0   0   0   0   0 100
J_P_van_Hecke 27 hol  1 16  7  3 44 671 387  81 493   7   0  16   3   3   0   0   4   0   0  91
Guga          23 por  2 15  9  7 28 260 774 164 877   6   0   9   2   3   0   0   2   0   0  91
Igor_Julio    29 BRA  1 15  5  2 40 637 238 636 477   7   0   6   4   0   0   0   2   0   0 100
S_Niakate     26 fra  1 15  6  2 26 650 252 124 764   7   0   7   2   0   0   0   0   0   0  91
Yaimar_Medina 21 ecu  1 14  6  5 20 610 570 736  28   5   0   7   4   0   0   0   4   0   0 100
Cole_Palmer   25 eng  1  3 19 10 21 727 588 155 630   6   0   5  10   1   0   0   0   0   0  91
M_Vlap        27 HOL  1  3 16  6 21 450 807 633 761   6   0   1   6   4   0   1  10   0   0 100
Harry_Howell  19 eng  1  3 16  7 18 707  78 477 459   5   0   0   8   3   0   1   0   0   0 100
K_De_Bruyne   35 bel  1  4 15  6 28 906 468 598 199   5   0   2   8   4   0   0   2   0   0  91
P_Chirivella  30 spa  2  5 14  2 36 133 417 833 306   5   0   0   3   0   0   0   0   0   0 100
Adrian_Mazilu 21 rom  1  2 14  6 20 763 981 262  96   5   0   0   6   4   0   0   4   0   0 100
V_Barco       22 arg  1  5 13  4 21 663 922 324 818   1   0   1   3   1   0   0   0   0   0 100
Luis_Suarez   39 uru  1  4  8 18 30 460 612 449 388   7   0   1   5  18   2   0   4   0   0  91
C_Bonsu-Baah  21 gha  1  1  4 15 18 450 778 922 109   5   0   0   1   9   1   0   0   0   0  91
Adam_Brett    19 wal  1  4  7 15 20 752 125 117 773   2   0   0   1   9   0   0   0   0   0  91
Ansu_Fati     24 spa  1  3  4 13 21 672 173 894   8   0   0   0   0   0   0   0   0   0   0 100
