Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Alvaro_Valles 28 spa 12  1  1  1 22 605 773 952 411  23   0 2185   0 136  36   0   0   0   0   0   0   0   0 100
Pau_Lopez     31 spa 10  1  1  1 20 100 524 524 524   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sergino_Dest  25 usa  1 13  6  5 16 884 499 153 635  21   1 1951   3   0   0  27  23  11   3   4   2   0   0 100
Mauro_Junior  27 bra  1 13  5  4 16 460 158 946 570  18   0 1712   0   0   0  27  15  10   1   0   2   0   0 100
Youri_Baas    23 hol  1 13  5  1 36 460 152 824 354  17   0 1562   0   0   0  27  11   3   0   1  14   0   0 100
Natan         25 bra  1 13  5  1 36 460  85 882 598  19   0 1806   0   0   0  21  11   9   2   1   6   0   0 100
Marc_Guehi    25 eng  1 12  5  1 32 550 901 923 469  17   0 1616   0   0   0  32  10   6   0   2   4   0   0 100
Sven_Botman   26 hol  1 12  4  1 34 550 364 506 402   5   0  476   0   0   0  10   1   1   0   0   0   0   0 100
H_Bellerin    31 spa  1 11  5  5 20 830  69 184  71   3   0  289   0   0   0   3   4   4   0   2   0   0   0 100
V_Gomez       22 arg  1 11  5  1 38 708 438 277 654   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Junior_Firpo  29 dom  1 11  4  5 18 915 547 723 103   2   0  188   1   0   0   1   2   2   2   1   0   0   0 100
Harry_Wilson  29 wal  1  2 15  8 21 270 206 515 562  17   0 1615   3   0   0   0  37  41   5   7   2   0   0 100
Isco          34 SPA  1  2 13  8 20 270 274 194 184  17   0 1618   3   0   0   0  34  33   6  11   2   0   0 100
S_McTominay   29 sco  1  6 13  6 30 518  57 153  98  22   0 2039   4   0   0  11  42  27   6   3   4   0   0 100
J_Schouten    29 hol  1  4 13  2 36 977 295 326 541  23   6 1489   1   0   0   6  48   5   1   4   4   0   0 100
A_Fidalgo     29 MEX  1  4 12  6 26 977 294 936 201  23   1 1890   0   0   0   4  39  27   2   8   4   0   0 100
S_Amrabat     29 mor  1  4 12  2 36 583 604 812 281  13   0  994   1   0   0   2  25   4   1   5  14   0   0 100
G_Lo_Celso    30 arg  1  2 13  5 20 632 465 411 287   9   0  851   1   0   0   4  14   9   3   6   0   0   0 100
N_Deossa      26 col  1  4 12  4 30 291 584 101 333  17  11  779   0   0   0   1  18  10   0   1   2   0   0 100
C_Ronaldo     41 por  1  3  7 14 26 160 465 853 187  17   4 1086   2   0   0   4   9  43  10   0   2   0   0 100
C_Hernandez   27 col  1  3  4 13 32 671 778 374 290  23   0 1640   2   0   0   2   5  59  18   0   6   0   0 100
J_Zirkzee     24 hol  1  2  4 12 20 138 190 948 713  26   5 2008   3   0   0   1   7  65  18   0   4   0   0 100
B_Zaragoza    24 spa  1  1  4 12 16 160 402 952 362  18  14  607   1   0   0   0   5  28   5   0   0   0   0 100
R_Riquelme    26 spa  1  2  4 11 20 143 223 968 857  11   8  359   1   0   0   2   4  13   2   3   4   1   0 100
