Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Gregor_Kobel  29 swi 14  1  1  1 22 101 793 972 431   4   0  385   0  19   6   0   0   0   0   0   2   0   0 100
P_Drewes      34 ger 10  1  1  1 20 908 544 544 544   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Sch'terbeck 27 ger  1 13  6  1 36 480 995 372 598   4   0  385   0   0   0   5   4   1   0   0   2   0   0  79
J_Ryerson     29 nor  1 13  4  5 18 728 499 885  33   3   0  279   0   0   0   4   2   1   0   0  10   0   0  91
A_Kabar       20 ger  1 13  6  4 20 173 123 216 637   4   0  385   0   0   0   6   3   1   0   1   2   0   0  79
W_Anton       30 ger  1 12  6  1 36 762 768 364 576   3   0  287   0   0   0   4   1   0   0   0   2   0   0 100
R_Bensebaini  32 alg  1 12  5  1 34 114 405 101 615   4   0  230   0   0   0   3   2   1   0   0   0   0   0  99
D_Svensson    25 swe  1 12  6  5 18 935 706 343 433   4   3  250   0   0   0   2   4   2   0   0   0   0   0 100
Niklas_Sule   31 ger  1 11  5  1 38 188 701 240 433   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Emre_Can      33 ger  1 10  4  1 36 183 848 845 283   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Felix_Nmecha  26 GER  1  6 15  6 32 538 192  31 508   3   0  287   0   0   0   1   5   2   0   2   0   0   0 100
Bernard_Silva 32 por  1  2 14  9 22 168 302 355  80   4   0  335   0   0   0   0   4   6   0   0   0   0   0  90
Yan_Couto     24 bra  1  2 13  4 26 997 382 668 927   2   1  148   0   0   0   0   0   0   0   1   0   0   0  91
Archie_Gray   20 eng  1  6 13  5 20 570 113 485  87   1   0   98   0   0   0   0   2   1   0   0   0   0   0  91
Lewis_Miley   20 eng  1  6 13  5 20 570  88 248 239   1   0   98   0   0   0   0   2   0   0   0   0   0   0  91
Julian_Brandt 31 ger  1  3 13  5 20 656  67   2 172   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Sabitzer    33 aut  1  4 10  5 28 176 815 852 903   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Yan_Diomande  20 ivo  1  1  6 15 21 375 990  53 361   4   1  340   1   0   0   0   1  12   2   0   0   0   0  94
Max_Beier     24 ger  1  4  5 14 28 691  39 869 255   3   0  287   0   0   0   1   1   8   1   0   0   0   0 100
Fabio_Silva   24 por  1  3  5 13 34 290 519  79 983   4   0  233   0   0   0   0   0   6   2   0   4   0   0  91
S_Guirassy    31 gui  1  4  6 13 30 982 132 150 552   4   3  197   0   0   0   0   1   5   0   0   0   0   0 100
