Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Mike_Maignan  31 fra 14  1  1  1 22 512 757 621 613   3   0  283   0  12   2   0   0   0   0   0   0   0   0 100
P_Terracciano 36 ita 12  1  1  1 20 196 824 546 313   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Fikayo_Tomori 28 eng  1 13  5  2 36 827 466 737 330   3   0  283   0   0   0   3   2   0   0   0   0   0   0  80
P_Estupinan   28 ECU  1 13  5  4 22 742 233 908 851   3   0  283   0   0   0   3   3   0   0   0   2   0   0  80
S_Pavlovic    25 srb  1 13  6  1 38 788 867  27 144   3   0  283   0   0   0   1   1   1   0   0   0   0   0  80
Mario_Gila    25 spa  1 13  5  2 36 248 538 585   8   3   0  283   0   0   0   3   0   0   0   0   0   0   0  80
K_De_Winter   24 bel  1 12  5  2 34 141 535 969 172   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matteo_Gabbia 26 ita  1 12  5  1 36 481 355 604 640   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Z_Athekame    21 swi  1 11  5  4 18 123 933 189 329   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Bartesaghi  20 ita  1 11  5  3 18 332 993 892 967   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luka_Modric   40 cro  1  3 14  6 22 546 501 754 965   1   1   16   0   0   0   0   0   0   0   0   0   0   0 100
Adrien_Rabiot 31 fra  1  5 13  6 30 464 984 477 135   1   0   93   0   0   0   0   2   1   0   0   0   0   0  94
Y_Fofana      27 fra  1  6 13  4 32 491 681 740 555   3   0  283   1   0   0   5   5   1   0   0   4   0   0  80
Samuele_Ricci 24 ita  1  5 13  4 28 960 960 878 649   3   0  283   0   0   0   0   3   1   0   0   2   0   0  80
C_Pulisic     27 usa  1  2 13  8 20 487 411 363 437   3   0  283   0   0   0   0   2   3   0   0   0   0   0  80
A_Jashari     24 swi  1  5 12  4 28 376 904 612 992   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_LoftusCheek 30 eng  1  4 12  5 28 554 865 715 386   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Sael'ekers  27 bel  1  2 12  6 20 163 963 279 267   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Yunus_Musah   23 usa  1  5 12  5 24 116  12 313 614   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Warren_Bondo  22 fra  1  5 11  4 26 235 133 353 822   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rafael_Leao   27 por  1  1  6 14 20 553 412 789 361   3   0  264   0   0   0   0   1   6   1   0   0   0   0  86
S_Gimenez     25 MEX  1  3  5 14 28 908 203 710 153   2   0  177   0   0   0   3   0   6   1   0   2   0   0 100
C_Nkunku      28 fra  1  2  6 13 22 769 922 176 885   2   0  174   0   0   0   0   1   0   0   1   0   0   0 100
Goncalo_Ramos 25 por  1  3  5 13 28 519 990 638 577   2   1  106   0   0   0   0   1   1   0   0   0   0   0  94
S_Chukwueze   27 nga  1  1  5 12 18 490 818 455 292   1   1   19   0   0   0   0   0   0   0   0   0   0   0 100
