Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
B_Verbruggen  23 hol 12  1  1  1 22 304 723 902 361   2   0  193   0   9   2   0   0   0   0   0   0   0   0 100
Jason_Steele  35 eng 10  1  1  1 20  50 474 474 474   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tom_McGill    26 can 10  1  1  1 20 834 859 507 302   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
JP_Van_Hecke  25 HOL  1 13  6  1 36 410 346  54 261   2   0  148   0   0   0   1   1   0   0   0   0   0   0 100
F_Kadioglu    26 tur  1 12  5  4 18 658 442 227 634   2   0  193   0   0   0   3   0   2   0   0   0   0   0  85
Mats_Weiffer  26 hol  1 12  5  4 18 865 568 623 967   2   0  193   0   0   0   4   1   1   0   0   0   0   0  85
M_De_Cuyper   25 bel  1 12  5  4 20 692 435 912 392   2   2   45   0   0   0   4   2   0   0   0   0   0   0 100
O_Boscagli    28 fra  1 11  5  1 40  44 251 440 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Igor_Julio    28 bra  1 11  4  1 32 780 482  98 428   2   0  193   0   0   0   3   0   0   0   0   0   0   0  85
Adam_Webster  31 eng  1 11  4  1 36 110 550 550 550   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lewis_Dunk    34 eng  1 10  4  1 38  90 660 650 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Gomez   23 PAR  1  4 13  4 24 927  95 104 649   2   0  193   0   0   0   0   4   2   0   1   0   0   0  85
Carlos_Baleba 22 cam  1  5 12  2 34 468 705 476 385   2   0  160   0   0   0   0   5   0   0   0   0   0   0  98
Yasin_Ayari   22 swe  1  4 12  5 26 533 518 361 155   2   0  171   0   0   0   0   2   1   0   0   0   0   0  91
J_Hinshelwood 21 eng  1  4 12  2 36 586 921 298 947   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matt_O'Riley  25 den  1  4 12  3 22 241 477 735  77   2   2   55   0   0   0   0   3   0   0   0   0   0   0 100
Pascal_Grob   34 ger  1  4 10  4 28 110 220 990 990   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Minteh      21 gam  1  1  6 12 20 397  97  67 214   2   0  170   1   0   0   0   3   1   1   1   2   0   0  94
G_Rutter      24 fra  1  3  5 12 28 912 928 760 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Mitoma      28 jap  1  1  5 12 16 621 629 190 878   2   0  193   0   0   0   0   1   7   2   0   2   0   0  85
C_Kostoulas   18 gre  1  3  4 12 26 220 130 553 467   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Tzimas      20 gre  1  3  4 12 30  93 123 755 621   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Danny_Welbeck 35 eng  1  3  4 11 32 110 335 797 936   2   0  193   0   0   0   0   1   2   1   0   0   0   0  85
Solly_March   31 eng  1  1  4 10 20 103 221 885 903   1   1   23   0   0   0   0   0   2   0   0   0   0   0 100
