Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
B_Verbruggen  23 hol 12  1  1  1 22 302 723 902 361   1   0   96   0   7   0   0   0   0   0   0   0   0   0 100
Jason_Steele  35 eng 10  1  1  1 20  50 474 474 474   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tom_McGill    26 can 10  1  1  1 20 834 859 507 302   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
JP_Van_Hecke  25 HOL  1 13  6  1 36 410 329  54 261   1   0   74   0   0   0   0   1   0   0   0   0   0   0 100
F_Kadioglu    26 tur  1 12  5  4 18 658 424 227 634   1   0   96   0   0   0   2   0   2   0   0   0   0   0  93
Mats_Weiffer  26 hol  1 12  5  4 18 865 514 602 967   1   0   96   0   0   0   1   0   1   0   0   0   0   0  93
M_De_Cuyper   25 bel  1 12  5  4 20 692 417 870 392   1   1   22   0   0   0   3   0   0   0   0   0   0   0 100
O_Boscagli    28 fra  1 11  5  1 40  44 251 440 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Igor_Julio    28 bra  1 11  4  1 32 780 425  98 428   1   0   96   0   0   0   0   0   0   0   0   0   0   0  93
Adam_Webster  31 eng  1 11  4  1 36 110 550 550 550   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lewis_Dunk    34 eng  1 10  4  1 38  90 660 650 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Gomez   23 PAR  1  4 13  4 24 927  95  47 634   1   0   96   0   0   0   0   1   1   0   0   0   0   0  93
Carlos_Baleba 22 cam  1  5 12  2 34 468 705 462 385   1   0   96   0   0   0   0   4   0   0   0   0   0   0  93
Yasin_Ayari   22 swe  1  4 12  5 26 533 518 361 141   1   0   74   0   0   0   0   2   0   0   0   0   0   0 100
J_Hinshelwood 21 eng  1  4 12  2 36 586 921 298 947   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matt_O'Riley  25 den  1  4 12  3 22 241 477 693  77   1   1   22   0   0   0   0   0   0   0   0   0   0   0 100
Pascal_Grob   34 ger  1  4 10  4 28 110 220 990 990   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Minteh      21 gam  1  1  6 12 20 397  97  27 214   1   0   96   1   0   0   0   1   1   1   1   2   0   0  93
G_Rutter      24 fra  1  3  5 12 28 912 928 760 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Mitoma      28 jap  1  1  5 12 16 621 629 169 829   1   0   96   0   0   0   0   0   4   1   0   2   0   0  93
C_Kostoulas   18 gre  1  3  4 12 26 220 130 553 467   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Tzimas      20 gre  1  3  4 12 30  93 123 755 621   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Danny_Welbeck 35 eng  1  3  4 11 32 110 335 797 923   1   0   96   0   0   0   0   1   1   1   0   0   0   0  93
Solly_March   31 eng  1  1  4 10 20 103 221 885 885   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
