Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Diogo_Costa   27 por 14  1  2  1 22 154 863  33 491   6   0  568   0  20   9   0   0   0   0   0   0   0   0 100
Claudio_Ramos 35 por 11  1  1  1 20  54 614 604 604   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jakub_Kiwior  27 pol  1 14  6  1 36 540 178 187 557   5   0  444   0   0   0   6   2   0   0   0   0   0   0  93
Joel_Ordonez  23 ecu  1 14  6  5 26 212 111  50 869   6   0  508   0   0   0   4   2   3   0   0   2   0   0  98
F_Moura       27 POR  1 14  6  4 16 822 404 756 871   5   0  411   1   0   0   5   8   1   0   2   2   0   0  98
M_Fernandes   21 POR  1 14  6  5 20 174 560 176 184   4   0  380   0   0   0   7   4   3   0   0   2   0   0  93
Alberta_Costa 23 por  1 13  6  5 18 788  99   2 216   5   4  219   0   0   0   3   1   0   0   0   0   0   0 100
Nehuen_Perez  26 arg  1 13  6  2 38 995 117 341 385   1   0   93   0   0   0   2   0   0   0   0   0   0   0 100
D_Prpic       21 cro  1 13  5  1 36 140 312 365 365   2   1  124   0   0   0   0   0   0   0   0   0   0   0 100
Jan_Bednarek  31 pol  1 12  4  1 36 910 134 539 654   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Z_Sanusi      29 nig  1 11  5  4 18 248 800 456 577   1   0   61   0   0   0   0   0   0   0   0   0   0   0 100
Dinis         21 por  1 11  4  5 18 250 375 365 365   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rodrigo_Mora  20 por  1  3 14  6 16 598 416 737 149   5   0  444   0   0   0   1   5   1   0   0   0   0   0  93
V_Froholdt    21 den  2  4 14  5 26  58 659 338 107   4   0  323   0   0   0   0   6   2   0   0  12   0   0 100
Alan_Varela   25 arg  1  6 14  2 38 663 219 172 592   5   0  400   1   0   0   1  14   0   0   2   2   0   0  98
A_Ouedraogo   20 ger  1  5 13  7 22 630  78 453 705   5   0  418   0   0   0   0   3   6   3   0   2   0   0  98
J_Manzambi    21 swi  1  4 13  5 28 192 858 662 994   6   1  416   0   0   0   0   6   2   0   0   0   0   0  97
Gabri_Veiga   24 spa  1  3 13  5 20 716 298 123 646   2   1  119   0   0   0   0   2   1   1   0   0   0   0 100
Kaue          21 bra  1  5 13  4 26 128 500 733 556   4   3  215   0   0   0   1   3   4   0   0   0   0   0  98
Pablo_Rosario 30 hol  1  4 12  2 34 371 886 650 429   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Aghehowa    23 spa  1  3  6 14 32 527 549 787 479   2   1  137   0   0   0   0   4   4   0   0   0   0   0 100
Borja_Sainz   26 spa  2  2  6 14 20  43 281 549 404   6   0  464   0   0   0   0   0  19   3   0   0   0   0 100
Deniz_Gul     21 tur  1  3  4 13 32 130 375 476 709   1   1   31   0   0   0   0   0   1   0   0   0   0   0 100
William_Gomez 21 bra  1  2  4 13 21 751 250 759 931   4   2  196   0   0   0   1   0   6   1   0   2   0   0 100
Pepe          30 bra  1  1  4 12 18 350 384 919 429   2   1  124   0   0   0   0   0   0   0   0   0   0   0 100
Yaan_Karamoh  28 fra  1  1  5 11 20 351 465 250 701   1   1   32   0   0   0   0   1   0   0   0   0   0   0 100
