Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Mark_Flekken  32 hol 11  1  1  1 22 347 723 902 361   3   0  286   0  15   4   0   0   0   0   0   0   0   0 100
Jonas_Omlin   32 swi 10  1  1  1 20  50 474 474 474   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Quansah     23 eng  1 12  5  1 36 410 648 598 258   3   0  237   0   0   0   4   2   0   0   1   2   0   0  90
E_Tapsoba     27 bur  1 12  5  1 38 658 424 227 604   3   1  241   0   0   0   2   0   0   0   0   0   0   0  96
Loic_Bade     26 fra  1 12  5  2 38 865 528 700  24   3   0  236   0   0   0   2   4   1   1   0   2   0   0  85
A_Grimaldo    30 spa  1 12  4  4 18 692 399 958 392   3   1  241   0   0   0   2   4   0   0   0   0   0   0  85
Axel_Tape     18 fra  1 11  5  1 34  44 270 440 440   2   0  139   0   0   0   1   0   0   0   0   0   0   0  93
Arthur        23 bra  1 11  4  4 20 780 427 103 446   2   1  146   0   0   0   1   1   2   0   0   0   0   0  93
Lucas_Vazquez 34 spa  1 10  4  4 20 110 550 550 550   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Issa_Traore   18 mal  1 10  4  1 38  90 660 650 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ibrahim_Maza  20 alg  1  2 12  5 25 468 722 526 416   3   1  234   1   0   0   0   6   1   0   1   0   0   0  91
Malik_Tillman 23 usa  1  2 12  4 20 533 518 478 176   2   0  192   0   0   0   0   9   2   0   1   0   0   0 100
E_Fernandez   23 arg  1  4 12  2 36 927 101 583 388   2   0  192   0   0   0   1   5   2   0   0   2   0   0 100
Aleix_Garcia  28 spa  1  4 11  5 26 586 921 373  19   2   0  189   0   0   0   0   5   2   1   0   0   0   0  93
R_Andrich     31 ger  1  5 11  3 38 241 502 753  93   2   0  147   0   0   0   1   4   1   0   0   0   0   0 100
J_Hofmann     33 ger  1  2 10  4 18 110 220 990 990   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Kofane      19 cam  1  3  6 12 20 397 127   4 241   2   0  189   0   0   0   1   1   7   0   0   0   0   0  93
Ernest_Poku   22 hol  1  1  5 12 18 912 928 760 521   2   0  142   0   0   0   0   0   5   0   0   0   0   0 100
Patrik_Schick 30 cze  1  3  4 12 36 621 659 172 825   3   1  189   0   0   0   1   0   7   0   0   0   0   0  93
E_Ben_Seghir  21 mor  1  1  4 12 14 220 127 572 551   2   1  146   0   0   0   0   1   7   1   0   2   0   0  93
Nathan_Tella  26 nig  1  1  4 11 20  93 123 755 621   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Terrier     29 fra  1  1  4 11 18 110 335 775 886   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
