Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_De_Gea  36 spa 12  1  1  1 22 129 773 952 411   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Christensen 28 den 10  1  1  1 20 700 524 524 524   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Comuzzo     22 ita  1 14  6  1 36 884 159 229 648   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dodo          28 bra  1 14  6  4 16 460  29 241 724   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_C_Todibo    27 fra  1 13  6  1 36 460 631  84 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Fortini     21 ita  1 13  4  5 18 708 903 987 286   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Wan_Bissaka 29 con  1 13  4  5 18 708 443 739  34   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Pongracic   29 cro  1 12  6  2 38 915 297  97 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luca_Ranieri  28 ita  1 12  6  1 38 742 160 257 572   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Parisi      26 ita  1 12  4  4 20  94 178 912 872   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Kouadio     21 ita  1 12  5  2 36 160 601  23   1   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Robin_Gosens  32 ger  1 11  4  4 20 830 734 275 562   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Rugani      32 ita  1 10  5  1 36 140 910 800 330   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matt_O'Riley  26 den  1  5 13  3 22 306  35 991 716   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Fagioli     26 ita  1  6 13  6 25 518 270 845 109   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Cher_Ndour    22 ita  1  4 12  6 20 977 414 848  50   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Fazzini     24 ita  1  3 13  4 30 291 806  31 807   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Mandragora  29 ita  1  6 12  2 36 583   8 403 395   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Fabbian     24 ita  1  3 12  5 18 636 189 741 518   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Zappacosta  34 ita  1  2 11  5 20 251 261  58  16   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Bakker      26 hol  1  2 11  5 23 162 384 674 226   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Piccoli     26 fra  1  4  6 14 26 962 240 266 118   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Minteh      22 gam  1  1  6 13 20 462 453 789 588   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Gudmundsson 29 ice  1  3  4 12 36 671 914 710 877   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Solomon     27 isr  1  1  4 12 14 270 360 976 335   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jack_Harrison 30 eng  1  1  5 12 20 143 299   3 214   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Breschi     20 ita  1  3  5 11 32 160 785 226 977   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
