Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_De_Gea  36 spa 12  1  1  1 22 113 773 952 411   2   0  188   0   4   6   0   0   0   0   0   0   0   0 100
O_Christensen 28 den 10  1  1  1 20 700 524 524 524   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Comuzzo     22 ita  1 14  6  1 36 884 191 229 648   2   0  188   0   0   0   2   0   0   0   0   0   0   0 100
Dodo          28 bra  1 14  6  4 16 460  61 281 744   2   0  188   0   0   0   2   2   1   0   0   0   0   0 100
N_Fortini     21 ita  1 14  5  5 18 708   6  10 300   2   0  188   0   0   0   6   1   1   0   0   0   0   0 100
J_C_Todibo    27 fra  1 13  6  1 36 460 699  84 476   2   0  188   0   0   0   4   0   0   0   0   0   0   0 100
A_Wan_Bissaka 29 con  1 13  4  5 18 708 443 739  34   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Pongracic   29 cro  1 12  6  2 38 915 297  97 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luca_Ranieri  28 ita  1 12  6  1 38 742 160 257 572   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Parisi      26 ita  1 12  4  4 20  94 178 912 872   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Kouadio     21 ita  1 12  5  2 36 160 601  23   1   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Rugani      32 ita  1 10  5  1 36 140 910 800 330   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matt_O'Riley  26 den  1  5 14  3 22 306  35  17 716   2   0  188   0   0   0   0   2   0   0   0   0   0   0 100
H_Fagioli     26 ita  1  6 13  6 25 518 315 868 106   2   0  188   0   0   0   2   2   0   0   0   2   0   0 100
J_Fazzini     24 ita  1  3 13  4 30 291 806 114 822   2   0  188   1   0   0   0   5   1   0   1   0   0   0 100
Cher_Ndour    22 ita  1  4 12  6 20 977 414 848  50   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Mandragora  29 ita  1  6 12  2 36 583   8 403 395   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Fabbian     24 ita  1  3 12  5 18 636 189 741 518   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Bakker      26 hol  1  2 11  5 23 162 384 674 226   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Piccoli     26 fra  1  4  6 14 26 962 240 266 159   2   0  188   0   0   0   0   0   3   1   0   0   0   0 100
Y_Minteh      22 gam  1  1  6 13 20 462 447 823 616   2   0  188   0   0   0   0   2   4   0   0   4   0   0 100
Romulo        23 bra  1  3  5 13 30 205 684 916 973   1   0   59   0   0   0   0   0   5   1   0   0   0   0 100
K_Adeyemi     24 ger  1  2  6 13 20 402 102   6 141   5   0  391   1   0   0   0   1  17   2   0   2   0   0 100
R_Breschi     20 ita  1  3  5 11 32 160 785 247 998   1   0   79   0   0   0   0   1   2   0   0   0   0   0 100
