Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Vicario     29 ita 13  1  1  1 22 225 793 972 431  23   0 2179   0 100  38   0   0   0   0   0   0   0   0 100
A_Kinsky      23 cze 11  1  1  1 20 120 544 544 544   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Austin      27 eng  9  1  1  1 20 904 929 577 372   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pedro_Porro   26 spa  1 13  6  5 18 935 165 167 384  21   1 1830   1   0   0  24  11  19   2   3   6   0   0  60
C_Romero      28 arg  1 12  5  1 38 728 869 420 823  20   0 1803   0   0   0  23   6   6   1   0   2   0   0  60
D_Udogie      23 ita  1 12  5  4 18 762 685 110 827  20   3 1629   1   0   0  13   7  16   2   0  14   0   0  76
C_Augusto     27 bra  1 12  6  4 18 762 666 104 696  14   4  931   0   0   0  12   7   9   2   0   0   0   0  93
R_Dragusin    24 rom  1 11  5  1 36 850 513 148 478   4   0  229   0   0   0   2   0   0   0   0   2   0   0 100
Kevin_Danso   27 aut  1 11  4  1 38 180 639 642 620   4   3  248   0   0   0   1   1   0   0   0   0   0   0 100
Souza         19 bra  1 11  4  3 20 160 825 742 300   8   7  234   0   0   0   5   1   0   0   0   0   0   0 100
Xavi_Simons   23 HOL  1  2 13  6 22 538 842 749 495  20   0 1827   1   0   0   2  34  29   3   3   4   0   0  62
L_Bergvall    20 SWE  1  5 13  5 26 603 116 504 419  20   0 1770   1   0   0   3  41  13   0   3  14   0   0  81
Pape_M_Sarr   23 sen  1  4 13  3 28 311 590 164 212  18   4 1266   0   0   0   2  27   4   0   2   6   0   0 100
C_Gallagher   26 eng  1  5 12  5 26 656 107 896 280  19   1 1685   2   0   0   4  34  13   1   2   2   0   0  78
J_Maddison    29 eng  1  1 12  6 21 253 352 152 144  20   5 1294   0   0   0   2  24  11   1   1   0   0   0  80
Adam_Wharton  22 eng  1  5 12  4 24 650 675 167 862  10   2  729   2   0   0   1  20   9   2   4   0   0   0 100
J_Palhinha    30 por  1  5 11  3 26 180  88 986 664  11   9  544   0   0   0   1  11   1   0   0   0   0   0 100
Y_Bissouma    29 mal  1  5 12  2 30 168 100   4 282   2   0  191   0   0   0   2   2   0   0   0   0   0   0 100
Mo_Kudus      25 gha  1  1  6 13 20 467 213 268 253  20   6 1391   2   0   0   1  10  42   5   0   2   0   0  78
D_Solanke     28 eng  1  4  5 13 32 982  75 995 281  20   1 1593   1   0   0   3   8  62   8   0   2   0   0  85
Richarlison   29 bra  1  3  5 13 26 691 723 410 260  13   3  906   1   0   0   0   7  28   5   0  12   0   0 100
Amad_Diallo   23 ivo  1  1  4 12 14 290 217 662 795  11   8  521   0   0   0   0   1  20   2   0   0   0   0 100
W_Odabert     21 fra  1  1  4 11 20 163 193 825 691   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mathys_Tel    21 fra  1  3  4 11 24 290 227 645 537   1   1   49   0   0   0   1   1   0   0   0   0   0   0 100
