Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Alvaro_Valles 29 spa 14  1  1  1 22  41 773 952 411   1   0   94   0   3   2   0   0   0   0   0   0   0   0 100
Pau_Lopez     32 spa 10  1  1  1 20 300 524 524 524   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sergino_Dest  26 usa  1 14  6  5 16 884 332 643 912   1   0   94   1   0   0   2   2   3   1   2   0   0   0 100
Marc_Guehi    26 eng  1 14  6  1 32 550  64 358 703   1   0   94   0   0   0   0   0   0   0   0   0   0   0 100
Mauro_Junior  28 bra  1 14  6  4 16 460  74 307 705   1   0   94   0   0   0   1   3   2   0   0   0   0   0 100
Natan         26 bra  1 14  6  1 36 460  85 283 798   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Youri_Baas    24 hol  1 13  6  1 36 460 952 225 554   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sven_Botman   27 hol  1 13  4  1 34 550  64 806 502   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Gomez       23 arg  1 12  5  1 38 708 239 677 854   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Junior_Firpo  30 dom  1 12  4  5 18 915   3 840 369   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Bellerin    32 spa  1 11  5  5 20 830 269 284 121   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Harry_Wilson  30 wal  1  2 15  9 21 270 306 970 189   1   0   94   0   0   0   0   2   1   1   0   0   0   0 100
S_McTominay   30 sco  1  6 15  6 30 518 281  22 216   1   0   94   0   0   0   1   1   0   0   0   0   0   0 100
G_Lo_Celso    31 arg  1  2 14  5 20 632 540 132 464   1   0   94   0   0   0   0   5   0   0   1   0   0   0 100
J_Schouten    30 hol  1  4 14  2 36 977 495  51 641   1   1   21   0   0   0   0   1   0   0   0   0   0   0 100
Isco          35 spa  1  2 13  8 20 270 261 538 300   1   0   94   0   0   0   0   2   3   0   1   0   0   0 100
A_Fidalgo     30 MEX  1  4 13  6 26 977 394 986 745   1   0   73   0   0   0   0   2   1   1   0   0   0   0 100
S_Amrabat     30 mor  1  4 13  2 36 583 804 213 381   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Deossa      27 col  1  4 12  4 30 291 884 701 433   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Hernandez   28 COL  1  3  5 15 32 671 878 174  46   1   0   73   0   0   0   0   0   5   1   0   0   0   0 100
J_Zirkzee     25 hol  1  2  5 14 20 138 390 349  58   1   0   73   0   0   0   0   0   3   0   0   0   0   0 100
B_Zaragoza    25 spa  1  1  5 13 16 160 602 353 198   1   1   21   0   0   0   0   0   0   0   0   0   0   0 100
R_Riquelme    27 spa  1  2  5 12 20 143 323 269 458   1   1   21   0   0   0   0   0   0   0   0   0   0   0 100
