Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Alvaro_Valles 29 spa 13  1  1  1 22 834 773 952 411   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pau_Lopez     32 spa 10  1  1  1 20 300 524 524 524   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sergino_Dest  26 usa  1 14  6  5 16 884 300 553 835   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marc_Guehi    26 eng  1 14  6  1 32 550  47 341 686   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mauro_Junior  28 bra  1 13  6  4 16 460 758 247 670   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Youri_Baas    24 hol  1 13  6  1 36 460 952 225 554   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Natan         26 bra  1 13  6  1 36 460 885 283 798   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sven_Botman   27 hol  1 12  4  1 34 550 964 806 502   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Gomez       23 arg  1 12  5  1 38 708 239 677 854   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Junior_Firpo  30 dom  1 12  4  5 18 915   3 840 369   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Bellerin    32 spa  1 11  5  5 20 830 269 284 121   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Harry_Wilson  30 wal  1  2 15  8 21 270 306 948 848   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_McTominay   30 sco  1  6 14  6 30 518 257 411 216   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Isco          35 SPA  1  2 13  8 20 270 244 477 235   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Schouten    30 hol  1  4 13  2 36 977 495 839 641   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Fidalgo     30 MEX  1  4 13  6 26 977 394 460 448   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Amrabat     30 mor  1  4 13  2 36 583 804 213 381   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Lo_Celso    31 arg  1  2 13  5 20 632 540 755 464   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Deossa      27 col  1  4 12  4 30 291 884 701 433   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Hernandez   28 col  1  3  4 14 32 671 878 674 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Zirkzee     25 hol  1  2  5 13 20 138 390 349 733   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Zaragoza    25 spa  1  1  5 13 16 160 602 353 198   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Riquelme    27 spa  1  2  5 12 20 143 323 269 458   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
