Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
D_Peretz      27 isr 17  1  1  1 36 110 575 650 575   4   6   0   0   0   0   0   2   0   0 100
J_Pickford    34 eng 13  2  2  1 30 588 185 173 604   0   0   0   0   0   0   0   0   0   0 100
Joao_Cancelo  33 por  1 17  8  6 21 830 176 671 625   4   0   4   1   3   0   1   0   0   0  93
Ben_Chilwell  31 eng  1 17  8  6 18 724  55 699 908   4   0   5   2   0   0   0   2   0   0  86
Samuel_Umtiti 34 fra  1 17  7  2 38   5 106 627 125   4   0   8   2   0   0   0   2   0   0  93
M_de_Ligt     28 hol  1 16  8  2 36 677 783 973 377   4   0   1   3   0   0   0   2   0   0 100
L_Klostermann 31 ger  1 15  6  1 38 505 439 633 931   3   0   0   0   1   0   0   0   0   0  93
David_Luiz    38 bra  1 15  8  2 38 580 431 210 248   4   0   1   3   0   0   0   0   0   0 100
Florian_Wirtz 23 ger  1  3 22  9 16 770 226 193 807   4   0   0   6   5   1   0  12   0   1  96
Mario_Pasalic 32 cro  1  5 18  7 26 840 400 285 426   4   0   1   7   4   2   0   0   0   0 100
Kendry_Paez   22 ecu  2  3 17  7 20 336 558 550 533   4   0   0  14   4   2   5   0   0   0 100
F_Goncalves   21 por  1  4 16  7 22 635 537 212  91   3   0   0   9   6   2   1   0   0   0 100
Jeremy_Doku   26 bel  1  2  7 23 20 801 282  77  12   4   0   0   2  12   1   0   0   0   0  86
Cody_Gakpo    29 hol  1  4  7 18 18 978 495 266 421   2   0   0   1   3   1   0   0   0   0  93
R_Lewandowski 39 pol  2  1  5 17 29  18 285 200   6   2   0   0   0   3   0   0   0   0   0  93
Laut_Martinez 33 arg  2  2  5 16 27 138 724 509 101   1   0   0   0   1   0   0   0   0   0 100
C_Ronaldo_Jr  17 por  1  3  5 16 22 458 921 629  44   0   0   0   0   0   0   0   0   0   0 100
