Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Alex_Meyer    34 ger 16  2  2  1 24 468 351 343 411   5   0  470   0  32   5   0   0   0   0   0   0   0   0 100
P_Drewes      33 ger 14  1  1  1 22 492 452 331 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Ostrzinski  22 ger 13  1  1  1 20 282 255 555 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Sch'terbeck 26 ger  1 18  5  1 38 410 562 940 207   4   0  378   0   0   0   6   3   1   0   0   0   0   0  97
D_Svensson    24 swe  1 17  6  5 20 321 755 981 527   5   0  372   1   0   0   3   6   3   1   0   0   0   0  90
J_Ryerson     28 nor  1 17  6  5 22 307 605 917 628   5   1  425   0   0   0   7   5   1   0   0   2   0   0  83
Arthur_Theate 25 bel  1 16  5  1 36 321   2 244 308  10   2  847   0   0   0  14   6   1   0   0   0   0   0  94
A_Amenda      22 swi  1 15  4  1 34 363 240 422 849  12   1  881   0   0   0  21   5   0   0   0   0   0   0  94
R_Bensebaini  30 alg  1 15  5  1 36 363 184 609 381   4   2  273   0   0   0   3   3   0   0   0   0   0   0  94
Emre_Can      32 ger  1 15  5  1 38 110 987 878 238   3   1  184   0   0   0   4   0   0   0   0   2   0   0 100
A_Kabar       19 ger  1 14  4  4 20 130 770 750 750   1   0   45   0   0   0   0   0   0   0   0   0   0   0 100
C_Chukwuemeka 22 eng  1  5 18  4 36 385  63  41 240   5   1  381   0   0   0   0  11   1   0   0   2   0   0  88
D_Kulusevski  27 swe  1  3 16  6 21 569  35 329 810  13   0 1240   0   0   0   1  16  10   0   1   0   0   0 100
M_Sabitzer    31 aut  1  4 16  5 28 318 735 773 354   3   0  239   0   0   0   0   6   3   0   1   0   0   0  94
Fares_Chaibi  22 alg  1  2 15  5 22 110 404  32 524   9   0  804   0   0   0   1  17   5   0   0  10   0   0 100
Salil_Ozcan   21 tur  1  5 15  2 36 541 151 426 111   1   0   96   0   0   0   1   1   1   0   0   0   0   0 100
Karim_Adeyemi 24 ger  0  2  5 19 21 331 738 432 893   4   0  374   1   0   0   1   3  17   3   1   0   0   0  89
Geo_Quenda    19 por  1  4  7 18 20 850 476 592 898   7   3  452   1   0   0   1   3  18   3   0   0   0   0  89
Fabio_Silva   23 por  1  3  6 17 30 112 513 963 273   4   0  333   0   0   0   0   6  13   0   0   4   0   0  98
Ritsu_Doan    27 jap  1  1  5 14 24 331 629 418 340   9   1  587   1   0   0   0   4  19   3   0   2   0   0 100
