Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Y_Sommer      38 swi 34  2  2  2 34 540 382 224 367   2   0  187   0  12   1   0   0   0   0   0   0   0   0 100
E_Audero      30 ita 12  2  2  2 28 901 483 212 341   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Ruggeri     24 ita  1 19  7  1 18 711 237 803 953   2   0  187   0   0   0   2   3   2   0   0   0   0   0 100
A_Bastoni     28 ITA  2 18 10  5 34 291 921 542 357   2   0  187   0   0   0   4   2   2   0   1   0   0   0 100
B_Pavard      31 fra  2 17  9  8 28 202 470 895 489   2   0  187   0   0   0   5   0   2   0   0   2   0   0 100
Yan_Bisseck   26 ger  2 15  7  4 32 244 905 266 471   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Dimarco     29 ita  2 15  8  6 29 189 601 977 644   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Smal        29 hol  1 14  6  6 22 656  47 628 159   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_M_Wolfe     25 nor  2 14  6  5 40  40 229 776 858   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_D_Ketelaere 25 bel  1  3 23  7 24 765 507 728 843   2   0  187   0   0   0   0   9   3   0   3   0   0   0 100
D_Dumfries    30 HOL  2  6 23 10 22 230 791 390 235   2   0  125   0   0   0   1   6   0   0   1   0   0   0 100
D_Frattesi    27 ita  2  4 22  9 26 266 208 537 354   2   0  187   0   0   0   0   6   4   1   1   0   0   0 100
F_Anguissa    31 sen  1  4 19  7 24 690 538 538  36   2   2   62   0   0   0   0   2   0   0   0   0   0   0 100
Joao_Pedro    21 por  1 12 18  7 25 765 490 635  18   2   0  187   0   0   0   1   5   3   0   1   0   0   0 100
Jamie_Gittens 23 eng  1  3 18  6 24 850 949 186 290   2   2   62   0   0   0   0   3   2   1   1   2   0   0 100
Kolo_Muani    28 fra  1  4  7 24 29 854  57 223 247   2   0  125   0   0   0   1   1   9   3   0   0   0   0 100
Xavi_Simons   24 hol  2  4  7 23 26  94 223 343 930   2   0  187   2   0   0   1   2  14   4   1   0   0   0 100
Kusini_Yengi  28 aus  1  3  7 20 20 921 699 771 484   2   0  187   0   0   0   0   1  10   1   0   0   0   0 100
G_Vedovati    21 ita  1  4  6 16 24 716  64 680 148   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
