Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Alex_Meret    29 ita 24  1  1  1 20 775 273 273 273   7   0   0   0  46   0   0   0   0   0   0    2   0   0 100
Ryan_Flamingo 23 hol  1 16  7  1 36 321  72 100 478   7   0   0   0   0   0   6   6   0   0   0    4   0   0  94
Manuel_Akanji 31 swi  1 16  7  6 39 571 869  27 332   7   0   0   0   0   0  11   6   2   0   0    2   0   0  94
D_Udogie      24 ita  1 16  5  4 21 510 442 407 537   7   0   0   0   0   0   0   5   2   3   0    0   0   0 100
Keito_Kosugi  20 jap  1 16  6  5 18 246  89 403 757   7   0   0   0   0   0   7   1   2   0   0    0   0   0  94
L_Spinazzola  33 ita  1 16  5  5 18 273 750 454 426   7   0   0   0   0   0   3   3   4   0   0    0   0   0 100
Paul_Pogba    34 fra  1  7 17  8 28 110 333 756 759   4   0   0   0   0   0   1   7   1   0   1    0   0   0  94
G_Mazzaglia   21 ita  1  5 17  5 24 581 503 348 994   6   0   0   0   0   0   1  12   3   0   0    2   0   0  94
L_Kacavenda   21 cro  1  4 16  5 22 373 369 361 892   7   0   0   0   0   0   2   9   0   0   0    0   0   0 100
J_Schouten    29 hol  1  6 16  3 36 385 117  36 222   2   0   0   0   0   0   4   0   0   0   0    0   0   0 100
Zeno_Sneijer  21 hol  1  5 16  7 24 735 673 471 241   1   0   0   0   0   0   2   2   0   0   0    0   0   0 100
Gabriel_Sigua 20 geo  1  4 16  5 28 934  26 384 381   3   0   0   0   0   0   0   3   0   0   0    0   0   0 100
Morgan_Rogers 24 eng  1  4 16  5 22 553 152 192 393   3   0   0   0   0   0   1   1   0   0   0    0   0   0 100
X_Shaqiri     34 swi  1  2 16  7 24 844 763 772 461   0   0   0   0   0   0   0   0   0   0   0    0   0   0 100
J_Bakayoko    22 bel  1  3  5 18 28 471 737 454  81  10   0   0   0   0   0   0   3  23   2   0   14   0   0 100
Noa_Lang      27 hol  1  1  5 17 24 331 680 313 849   6   0   0   0   0   0   0   0   7   0   0    0   0   0  94
Endrick       22 bra  1  2  5 16 22 283 774 750 371   6   0   0   0   0   0   0   3   7   1   0    0   0   0  94
A_Gudjohnsen  23 ice  1  3  4 16 26 315 535 617 975  10   0   0   0   0   0   0   1  15   0   0    2   0   0  94
