Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_De_Gea      35 spa 21  2  2  1 32 406  67 523 901   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Christensen 26 den 17  1  1  1 20 191 110 100 110   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Comuzzo     21 ita  1 19  5  1 39 973 343 663 401   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dodo          27 bra  1 18  5  6 20 804  80 312  31   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kaiky         22 bra  1 17  8  2 38 688 182 540 483   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Piquerez    27 uru  1 16  8  7 19 603 454  62 148   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luca_Ranieri  26 ita  1 16  5  1 36 922 662 600 234   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Pongracic   28 cro  1 16  5  1 33 943 482 592 598   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Parisi      25 ita  1 16  5  5 19 493 616 371 129   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Golovin     31 rus  2  3 20  9 29  52 653 342 399   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_de_Paula    26 bra  1  7 17  5 36 569 938 981 929   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Mandragora  28 ita  1  6 17  3 36 110 535 735 435   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Fabbian     23 ita  1  2 17  5 21 110 355 950 650   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Fazzini     23 ita  1  4 17  5 26 220 320 151 850   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Brescianini 26 ita  1  5 17  4 30 140 960 261 760   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Cher_Ndour    21 ita  1  5 17  4 28 200 151 151 550   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Sabiri      29 mor  1  2 17  6 20  90 190  71 870   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Romelu_Lukaku 33 BEL  1  4  5 23 28 318 805 183 315   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Willian     21 BRA  2  4  7 23 18 188 937 454 209   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Moise_Kean    26 ita  1  3  5 19 30 110 330 530 830   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Piccoli     25 ita  1  3  5 17 26 230 550 970 830   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Gudmundsson 28 ice  1  3  4 18 24 190 550 970 171   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jack_Harrison 29 eng  1  2  5 16 18 220 210 750 950   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
