Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_Kikkenborg  27 den 26  1  1  1 22 606 321 907 772   4   0  376   0  41   4   0   0   0   0   0   0   0   0 100
I_Provodel    31 ita 18  1  1  1 20 210 273 273 273   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Motta       21 ita 16  1  1  1 18  55 123 234 123   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Augustin_Giay 22 bra  1 20  6  5 21 190 152 860 597   4   0  376   0   0   0   4   3   6   0   0   0   0   0  93
Luan_Candido  25 bra  1 18  7  5 20 100 496 156 941   4   0  376   0   0   0   5   2   5   0   0   2   0   0  93
Mario_Gila    25 SPA  1 17  7  1 39 571 448 250 461   2   0  191   0   0   0   0   0   0   0   0   0   0   0  93
O_Provsthaard 22 den  1 17  6  1 36 321 199 347 617   2   0  185   0   0   0   3   2   0   0   0   0   0   0 100
L_Pellegrini  26 ITA  1 16  5  4 21 510  75 686 892   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Adam_Marusic  33 mon  1 15  5  4 18 246  48 391 711   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pedri         24 spa  2  7 23 10 24 513  66  76 610   4   0  376   1   0   0   0  17   6   2   2   0   0   0  93
Manuel_Ugarte 26 uru  1  6 18  4 37 672 336 973 161   4   0  376   0   0   0   1   7   5   1   0   0   0   0  93
N_Rovella     24 fra  1  7 18  3 38 110 206 137 977   4   0  289   0   0   0   0   5   3   0   1   0   0   0 100
R_Belahyane   21 mor  1  6 17  3 34 581 402 213 162   4   4   87   0   0   0   1   5   2   0   2   0   0   0 100
A_Przyborek   19 pol  1  2 17  5 16 385 517 154  22   4   0  376   0   0   0   0   8   0   0   0   0   0   0  93
Dani_Maldini  24 ita  1  2 16  6 22 373 443 984 271   4   0  376   0   0   0   0   6   2   0   0   0   0   0  93
F_D-Bashiru   25 nig  1  2 15  5 24 735 773 101 536   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Castro      21 arg  1  3  6 18 26 330 755  57 756   4   0  289   1   0   0   0   1  14   1   0   0   0   0 100
Boulaye_Dia   29 sen  1  4  5 16 32 331 823 619 403   4   4   87   0   0   0   1   0   6   1   0   0   0   0 100
G_Isaksen     24 den  1  2  5 16 20 471 852 795 207   4   0  289   0   0   0   0   0  14   3   0   0   0   0 100
M_Cancellieri 23 ita  1  2  4 16 20 315 646 928 208   4   4   87   0   0   0   0   0   3   2   0   0   0   0 100
T_Noslin      26 hol  1  2  6 15 22 283 899  69  31   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
