Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Marco_Raina   23 ita 26  2  2  2 20 390 113 428 378   3   0  285   0  28   7   0   0   0   0   0   0   0   0 100
S_Nsoki       26 fra  1 17  6  1 34 110 570 181 330   3   0  285   0   0   0   3   0   0   0   0   0   0   0 100
David_Raum    28 GER  1 17  6  6 20 508 240 100 836   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Anton       29 ger  1 17  5  1 36 234 345 497 726   3   0  285   0   0   0   6   2   1   0   0   2   0   0 100
Tiago_Djalo   27 por  2 16  7  3 32 187 570 924 575   3   0  285   0   0   0   5   0   2   0   0   2   0   0 100
S_v_Den_Berg  24 hol  1 16  6  2 36 423 260 934 274   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
I_v_d_Brempt  25 bel  2 16  6  5 21  40  79 265 619   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Felix_Nmecha  25 ger  1  4 18  6 26 349 293 865 809   3   0  190   0   0   0   0   5   5   0   0   2   0   0 100
Kai_Havertz   27 ger  1  2 18  8 24 277 655 280 835   3   0  285   0   0   0   0   2   3   0   0   2   0   0 100
Phil_Foden    28 ENG  1  3 18  8 26 110 550 346 438   3   3  147   0   0   0   0   8   2   0   2   0   0   0 100
Vitaly_Janelt 28 ger  1  7 17  3 34 423 333 236 562   3   0  226   0   0   0   2   4   0   0   0   0   0   0 100
Hugo_Larsson  21 swe  1  5 17  6 26 393 247  18 906   3   0  138   0   0   0   0   2   3   0   0   2   0   0 100
W_Ndidi       34 nig  2  5 17  3 35 260 138 947 121   3   0  285   0   0   0   2   4   1   0   0   0   0   0 100
Mario_Gotze   34 ger  1  1 16  7 22 262 244 243 928   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Andrealli   20 ita  1  7 16  4 36 463 123 476  86   3   0  285   0   0   0   2   2   2   0   0   4   0   0 100
Mo_Salah      34 egy  1  2  6 21 20 419 605 428 268   3   3   95   0   0   0   0   1   8   1   0   0   0   0 100
K_Kvara'helia 25 geo  1  1  9 20 22 191 613  10 954   3   0  285   0   0   0   0   0  11   2   0   0   0   0 100
Paulo_Dybala  33 arg  1  2  6 18 24 646 775 374 571   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Max_Beier     23 ger  1  3  6 18 26 750 994 298 625   3   3   59   0   0   0   0   0   3   0   0   0   0   0 100
Ricardo_Pepi  22 usa  1  4  5 16 28 489 154 776 284   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
