Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
T_Courtois    35 bel 25  1  2  1 32 903 587 166 750   1   0   95   0   7   0   0   0   0   0   0   0   0   0 100
G_Daffara     21 ita 16  1  1  1 20 703 330 370 370   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diogo_Dalot   28 por  2 17 10  8 24 332 694 613 999   1   0   95   0   0   0   1   1   0   0   0   2   0   0  93
Patrick_Dorgu 22 den  1 17  6  6 20 110 891 581 319   1   0   95   0   0   0   1   0   0   0   0   0   0   0  93
C_Mawissa     21 fra  1 17  7  2 38 390   3 482 513   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Anselmino   21 arg  1 16  6  1 20 400 815 108 915   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Otavio        23 bra  1 16  6  1 36 321 906 782 533   1   0   74   0   0   0   1   0   0   0   0   2   0   0 100
Eder_Militao  29 bra  1 16  5  3 37 585 416 914 555   1   1   21   0   0   0   1   0   0   0   0   2   0   0 100
M_Hjulmand    27 den  2  7 22  4 37 273 370 441 813   1   0   79   0   0   0   0   4   0   0   0   2   0   0  99
K_Koindredi   25 fra  1  6 21  8 33 535 192 930 424   1   0   95   1   0   0   0   4   2   0   1   0   0   0  93
Koke          34 spa  1  7 18  9 30 984 203 794 179   1   0   95   0   0   0   0   4   0   0   0   0   0   0  93
Oscar         20 lib  1  3 17  5 28 110 530 622 151   1   1   16   0   0   0   0   1   0   0   0   0   0   0 100
K_Kozlowski   23 pol  1  4 17  5 32 753 735 505 824   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Soriano     24 spa  1  2 16  6 39 856 256 647 639   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Tavares     24 por  1  3 16  4 28 110 360 947 883   1   0   95   0   0   0   1   2   0   0   0   0   0   0  93
Yasin_Ayari   23 swe  1  5 16  5 26 753  76 638 932   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matheus_Cunha 27 bra  2  4  8 23 22   9 783 465 809   1   0   95   0   0   0   0   1   3   0   0   0   0   0  93
Y_Hernandez   23 spa  1  4  6 17 18 588 348 786 112   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Mella   21 spa  1  1  6 17 30 128 648 509 504   1   0   95   0   0   0   0   0   6   0   0   0   0   0  93
Jaden_Sancho  27 eng  1  1  7 16 22 176 606 325 985   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Makhtar_Gueye 28 sen  1  3  5 16 28 315 769 860 423   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Samba_Konate  16 fra  1  3  5 16 30 110 748 190 845   1   0   95   0   0   0   0   1   7   1   0   2   0   0  93
