Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
T_Courtois    35 bel 26  1  2  1 32   9 587 166 750  16   0 1516   0 118  13   0   0   0   0   0   0   0   0 100
G_Daffara     21 ita 15  1  1  1 20 902 330 370 370   8   0  756   0  42  27   0   0   0   0   0   0   0   0 100
Diogo_Dalot   28 por  2 17 10  8 24 332 283 399 901  13   0 1231   0   0   0  22  18  13   3   2  10   0   0 100
Patrick_Dorgu 22 den  1 17  6  6 20 110 278 281 219  18   0 1707   1   0   0  25  14  19   1   4   2   0   0 100
C_Mawissa     21 fra  1 16  7  2 38 390 202  82 313   8   0  756   0   0   0  20  10   3   0   0   2   0   0  70
A_Anselmino   21 arg  1 16  5  1 20 400  15 707 715   8   0  756   0   0   0  10   3   2   0   0   2   0   0  70
Otavio        23 bra  1 16  6  1 36 321 276 484 435   6   0  535   0   0   0   8   3   2   1   0   0   0   0  80
Eder_Militao  29 bra  1 16  5  3 37 585   4 716 457   5   1  408   1   0   0   7   6   2   1   1   0   0   0  85
M_Hjulmand    27 den  2  7 22  4 37 273 172  27 715  17   2 1176   0   0   0   8  27  14   1   4  10   0   0 100
K_Koindredi   25 fra  1  6 21  8 33 535  92 300  97  14   5  925   0   0   0   1  36   7   0   7   6   0   0 100
Koke          34 spa  1  7 18  9 30 984 233 792 209   8   0  756   0   0   0   2  13   7   0   1   0   0   0  70
M_Soriano     24 spa  1  2 16  6 39 856 156  47 339   8   0  653   0   0   0   0  23   4   0   0   0   0   0  91
S_Tavares     24 por  1  3 16  4 28 110 233 327 583   5   1  379   0   0   0   0   4   2   0   0   2   0   0  93
Yasin_Ayari   23 swe  1  4 16  5 26 753 975  38 632   4   1  289   0   0   0   0   5   4   0   0   2   0   0 100
Oscar         20 lib  1  3 16  4 28 110 330 812 750   4   3  151   0   0   0   0   2   0   0   2   0   0   0 100
K_Kozlowski   23 pol  1  4 16  5 32 753 635 904 524   2   0  124   0   0   0   0   3   2   0   0   0   0   0 100
Matheus_Cunha 27 bra  2  4  8 23 22   9 683 247 416  14   0 1240   5   0   0   4  13  89  22   1  22   0   0 100
Y_Hernandez   23 spa  1  4  6 16 18 588 248 486 511   5   0  473   1   0   0   0   1  20   3   1   2   0   0  86
Jaden_Sancho  27 eng  1  1  7 16 22 176 506 125 585   4   0    0   0   0   0   0   0  14   3   0   0   0   0  97
David_Mella   21 spa  1  1  6 16 30 128 448 109 676   6   1  412   0   0   0   0   1  13   0   0   0   0   0  86
Makhtar_Gueye 28 sen  1  3  5 16 28 315 669 660  23   9   4  571   0   0   0   3   2  12   0   0   0   0   0  93
Samba_Konate  16 fra  1  3  4 15 30 110 350 770 803   1   1   28   0   0   0   0   0   1   1   0   0   0   0 100
