Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_ter_Stegen  35 ger 22  2  2  2 28 139 277 288 278  10   0  946   0  54  22   0   0   0   0   0   0   0   0 100
Inaki_Pena    28 spa 12  2  2  2 28 156 317 328 318   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Oliveira    29 uru  1 15  7  6 21 850 571 635 255  10   3  706   1   0   0  12   8   6   0   1   0   0   0  93
R_Araujo      28 uru  2 15  7  3 36  88 176 737 397   9   3  623   0   0   0   6   8   3   0   1   4   0   0 100
Alexsandro    27 bra  1 15  6  2 38 850 868 486 469   7   2  547   0   0   0   9   4   1   0   0   2   0   0 100
L_Geertruida  26 hol  2 15  7  7 27 315  11 377 161   6   0  519   0   0   0   2   4   5   1   0   2   0   0  93
Jules_Kounde  28 fra  1 14  6  2 33 811 654 855 669   7   2  557   0   0   0  17   2   2   0   0   0   0   0  93
R_Karsdorp    31 hol  2 14  6  5 18  72 615 650 880   4   0  377   0   0   0   5   1   3   1   1   0   0   0 100
A_Christensen 31 den  1 13  7  3 35 854 470 106 188   7   0  455   0   0   0   4   3   3   0   0   0   0   0 100
M_Stroeykens  22 bel  2  4 21  8 20 310 227 137 868  10   1  673   0   0   0   1  21   6   0   0   0   0   0 100
Marc_Casado   23 spa  1  5 18  4 38 930 924 134 554   7   2  524   0   0   0   2  18   2   0   0   0   0   0 100
M_Odegaard    28 nor  1  3 18  7 22 853 367  50 997   9   5  504   0   0   0   2  11   6   0   0   0   0   0  93
Jorginho      35 bra  1  7 16  4 38 802 622 804 395   5   0  473   0   0   0   3  12   5   0   3   0   0   0 100
L_Samardzic   24 ser  2  5 16  6 26  89 674 472 520   6   1  448   0   0   0   1  11   4   1   0   0   0   0 100
J_Lerma       32 col  1  6 15  3 36 912 881 407 212   5   0  473   0   0   0   0  10   2   0   0   2   0   0  93
L_Dendoncker  32 bel  2  5 14  4 36 746 766  57 354   3   0  289   0   0   0   1   5   2   0   0   0   0   0  93
Fermin_Lopez  24 spa  1  3 13  6 22 925 643 728  62   5   1  400   0   0   0   1   8   3   0   2   2   0   0 100
A_Garnacho    22 arg  2  3  8 26 33 259 956 782 904  10   0  674   1   0   0   2   3  37   9   1   2   0   0 100
Lamine_Yamal  19 spa  1  3  6 22 21 846 735 853 566   9   4  590   1   0   0   1   4  27   5   0   0   0   0 100
Donyell_Malen 28 hol  1  3  5 16 28 985 417 916 250   6   1  499   0   0   0   0   1  20   3   0   0   0   0  93
Leon_Bailey   29 jam  2  3  6 14 20  11 314 102 723   4   4  129   0   0   0   0   0   6   0   0   2   0   0 100
