Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
J_Bijlow      28 hol 21  1  1  2 20 165 973 973  49  16   0 1519   0 111  23   0   0   0   0   0   0   0   0 100
S_Ortega      33 ger 11  1  1  1 28 364 698 652 706   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Costa       26 POR  1 16  8  6 25 585 355 210 246  16   0 1519   1   0   0  24  15   9   1   0   2   0   0 100
Y_Sugawara    25 jap  1 16  7  6 25 577 196 236 180  16   0 1519   0   0   0  14  19  11   0   1   4   0   0 100
Dean_Huijsen  22 hol  1 15  6  2 38 834 297 699 893   8   0  758   0   0   0   8   6   2   0   3   0   0   0 100
M_Olivera     29 uru  1 15  6  5 18 273 234 439 308   7   0  664   0   0   0   8   8   2   0   0   0   0   0 100
Nico_O'Reilly 20 eng  1 14  5  7 20 110  80 979   2   5   0  477   0   0   0   5   2   3   0   0   0   0   0 100
Max_Alleyne   22 eng  1 13  5  2 36 353 295 696 276   2   0  145   0   0   0   1   0   0   0   0  10   0   0 100
Rico_Lewis    22 eng  1 13  5  4 22 429 288  54 347   3   0  285   0   0   0   4   2   1   0   0   2   0   0 100
Casemiro      34 bra  1  5 19  5 33 561 801  96 954  12   0 1022   0   0   0   3  40   6   0   3   8   0   0 100
F_Valverde    26 arg  2  3 17  8 27 110 958 997 841  15   0 1388   0   0   0   3  44  10   1   2   0   0   0 100
S_Shopov      23 bul  2  6 17  7 28  31 669 893 517   9   0  851   1   0   0   1  27  10   0   5   0   0   0 100
K_Belic       25 SRB  1  6 17  3 36 582 446 513 531   1   1   38   0   0   0   0   5   0   0   0   0   0   0 100
Ben_White     29 eng  1  7 16  8 22 838 854 414 274   2   0  187   0   0   0   1   5   2   0   1   0   0   0 100
Hugo_Larsson  21 swe  1  5 16  6 26 393  49 199 459   8   0  760   1   0   0   4  22   6   0   2   0   0   0 100
M_Kovacic     32 cro  1  5 16  5 33 509 208  59 992   3   0  287   0   0   0   1   7   1   0   0   0   0   0 100
E_Haaland     26 nor  1  2  8 25 38 822 481  10 984  16   0 1519   4   0   0   2  13  83   8   0   6   0   0 100
Bryan_Mbuemo  26 fra  1  1  8 18 20 362 662 263 490  16   0 1519   3   0   0   1  12  69  15   0   0   0   0 100
V_Osimhen     29 nig  1  4  7 17 30 267 774 868 574  13   0 1234   1   0   0   3  12  45   3   1   4   0   0 100
Raul_Jimenez  35 por  1  2  6 14 20 547 754 502 306   4   3  160   0   0   0   0   2   3   0   0   0   0   0 100
