Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Ederson       33 bra 29  1  1  1 34 325 592 659 652  13   0 1268   1 140  14   0   0   0   0   0   0   0   0 100
S_Mignolet    38 bel 14  2  2  1 24 167 351 343 411   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Caio_Henrique 29 bra  1 15  7  6 26 949 573 835 990  12   0 1124   0   0   0  12  10   9   1   0  14   0   0 100
Hjalmar_Ekdal 26 swe  1 15  5  2 27 820 585 523 166  10   0  984   0   0   0  13   3   3   0   0   0   0   0 100
A_Robertson   32 sco  1 15  7  7 21 858 395 883 932   2   0  219   0   0   0   1   0   1   0   0   0   0   0 100
M_De_Cuyper   25 BEL  1 14  5  5 18 410 496 933 400  12   0 1176   0   0   0  10  12   3   0   1   4   0   0 100
J_Spileers    21 bel  1 13  5  2 36 363 466  90  93   3   0  284   0   0   0   1   2   0   0   0   0   0   0 100
Joel_Ordonez  22 ecu  1 12  6  1 36 321 940 746 619   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Tielemans   29 bel  1  4 17  7 24 364 571 535 190  13   0 1268   0   0   0   2  22   9   1   1   0   0   0 100
A_Tchouameni  27 fra  1  5 16  3 38 415 923 532 157  13   0 1152   0   0   0   8  20   6   1   0   6   0   0 100
Pedro_Aquino  29 per  1  9 15  4 38 640 759 780 483   4   0  409   0   0   0   1   6   4   0   1   2   0   0 100
L_Bergvall    18 swe  1  5 15  6 24 160 418 948 730  11   0 1077   0   0   0   0  14  14   0   1   2   0   0 100
C_Gallagher   26 eng  1  5 15  5 28 112 900 802 990  13   0 1268   0   0   0   2  19   6   0   0   2   0   0 100
Alfie_Walker  17 wal  1  5 15  5 26 875 599 500 191   5   5  116   0   0   0   2   1   1   0   0   4   0   0 100
K_Karetsas    18 bel  1  2 13  5 18 110 218 681 662   1   0   96   0   0   0   0   1   1   0   0   2   0   0 100
Rafael_Leao   27 POR  2  2  9 24 20 292 714  69 280  13   0 1268   1   0   0   1  27  34   3   0   2   0   0 100
Harry_Kane    34 eng  1  3  6 23 35 656 310 491 445   3   0  314   0   0   0   1   1  13   1   0   0   0   0 100
Yohan_Wissa   29 con  1  3  5 17 28 226 827 773 136   9   0  857   1   0   0   0   1  34   2   0  12   0   0 100
L_Anghele     22 ita  1  3  6 16 23 550 608  26 556   1   0   96   0   0   0   0   0   5   0   0   0   0   0 100
