Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Andrew        26 bra 24  4  4  2 20 159 176 528 230   5   0  480   1  35   2   0   0   0   0   0   0   0   0 100
Franco_Israel 27 uru 20  2  3  2 32 532 278   7 216   7   0  699   0  23   6   0   0   0   0   0   2   0   0 100
Jose_Gimenez  24 uru  1 19  7  2 35 920 528 728 922  12   0  873   0   0   0   9   7   4   0   0   0   0   0 100
T_Ndombele    30 fra  2 18  9  6 26 626 909 983  67  12   0 1179   0   0   0  15  11  11   1   1   4   0   0 100
Jan_Simic     22 SER  1 17  9  3 38 738  98  31 348   2   0  194   0   0   0   0   0   0   0   0   0   0   0 100
T_Lamptey     26 gha  1 17  7  8 22 601 313 178 658  12   0 1179   0   0   0  18  11  17   4   0   4   0   0 100
V_Nelsson     28 den  2 16  8  3 36 348  46 812  20   3   0  286   1   0   0   4   6   2   1   1   0   0   0 100
R_Fernandes   24 por  2 16  6  3 34 229 342 577 812  12  12  306   0   0   0   5   1   2   0   0   0   0   0 100
R_McConville  21 eng  1 16  6  3 38 485 227 728  94   7   0  699   0   0   0   4   3   6   0   1   2   0   0 100
M_Locatelli   29 ita  1  6 21  4 28 758   7 372 920  11   0 1082   0   0   0   1  21  12   0   1   8   0   0 100
J_Palhinha    30 por  1  7 20  6 32 735 620 202  35  12   0  953   0   0   0   4  29   9   1   1   2   0   0 100
Eric_Ramires  26 bra  2  6 19  5 30 347 436   9 604   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Adriano       28 bra  2  6 19  7 26 128 657  23 260  12   0 1036   0   0   0   1  22  18   1   2   4   0   0 100
Archie_Gray   19 eng  2  5 18  7 24 126 769 432 569  12  12  366   0   0   0   1   9   5   0   1   2   0   0 100
Reinier_Jesus 22 bra  1  5 17  7 26 669 596 281 829   5   0  481   0   0   0   1  11   9   0   1   0   0   0 100
D_Luna        23 ger  1  4 17  7 19 755   3 383 677   4   0  375   0   0   0   1   7   4   0   1   0   0   0 100
B_Gonzalez    21 spa  1  9 16  4 34 880 146 387 745  11   0  942   0   0   0   4  21   4   0   1   0   0   0 100
Vinicius_Jr   26 bra  2  3  7 21 29  30 693  51 584  12   0 1179   6   0   0   1   5  72  10   0   2   0   0 100
R_Hojlund     24 den  1  3  5 20 30 659 266 916 536   5   0  480   0   0   0   0   2  24   1   0   6   0   0 100
Diogo_Martins 20 POR  1  4  7 17 28 525 254 205  34   5   5  143   0   0   0   0   4   7   0   0   0   0   0 100
Pedro_Neto    26 por  2  2  7 17 21 229 370 915 663   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
