Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Alban_Lafont  28 fra 20  1  1  1 22 333 321 832 772  10   0  980   0  64  16   0   0   0   0   0   0   0   0 100
R_Majecki     27 pol 13  2  2  2 25 253 326 540 135   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kaiky         22 bra  1 16  8  2 38 688 521 173 337  10   0  980   0   0   0   9  12   6   1   1   2   0   0 100
J_Piquerez    27 uru  1 15  7  7 19 603 980 842  48  10   0  980   0   0   0  11  12  10   1   0   0   0   0 100
Cuiabano      23 bra  1 15  7  7 21 720 377 139 634   8   6  299   0   0   0   4   3   6   1   1   0   0   0 100
Jacob_Vickers 19 eng  1 15  7  3 38 418 805 160 553  10   2  846   0   0   0  10   8   4   0   0   6   0   0 100
K_Sardella    25 bel  2 15  7  5 22 272 194 373 617   9   0  720   0   0   0  13   4   5   0   0   2   0   0 100
T_Castagne    31 bel  1 14  5  4 20 290 689 191 677   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Nakayama    29 jap  1 14  5  7 24 776 793 975 145   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Salisu      28 gha  1 14  6  4 38 824  28 482 564   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Golovin     31 rus  2  3 20  9 29  52 603 106 179  10   0  933   1   0   0   3  26  24   3   1   0   0   0 100
P_de_Paula    26 bra  1  7 17  5 36 569 575 337 702  10   0  980   1   0   0   5  23   6   1   4   0   0   0 100
J_Lepenant    24 fra  1  6 16  3 38 490  50 521  39   9   0  884   0   0   0   5  22   1   0   3   2   0   0 100
J_Brandes     23 hol  1  6 16  3 38 935 313 571 150   2   0  191   0   0   0   2   2   0   0   0   0   0   0 100
Nemanja_Matic 37 ser  1  6 15  4 32 421 257 539 844   2   2   47   0   0   0   0   1   0   0   0   0   0   0 100
J_Sarmiento   24 ecu  1  2 15  7 19 785 324 559 841  10   0  980   0   0   0   1  22  15   0   1   4   0   0 100
Romelu_Lukaku 33 BEL  1  4  5 23 28 318 789 172 343  10   0  980   1   0   0   2   3  51   4   0   2   0   0 100
E_Willian     21 BRA  2  4  7 22 18 188 694  18 341  10   0  803   3   0   0   2   9  46   9   1   0   0   0 100
F_Camarda     18 ita  1  4  5 17 21 693  20 804 366  10  10  177   0   0   0   0   0  10   1   0   0   0   0 100
Gabriel_Veron 22 bra  1  2  7 15 18 580 916 813 420   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
