Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Nick_Pope     35 eng 28  1  1  1 34 849 612 462 312  15   0 1462   3 113  16   0   0   0   0   0   0   0   0 100
G_Montiel     29 ARG  1 18  6  7 21 276 317 949 162  15   0 1462   0   0   0  31   7  13   0   0   0   0   0 100
S_Botman      27 HOL  1 17  9  3 34 402 636 306 254  15   0 1462   0   0   0  23  11   3   0   1   8   0   0 100
Danilo        35 bra  1 16  7  1 36 276 990 743 632  10   0  818   0   0   0   4   6   3   0   0   4   0   0 100
Mario_Hermoso 31 spa  1 16  7  1 36 238 167 544 529  14   0 1276   1   0   0  16   8   1   0   0  12   0   0 100
J_Kimmich     32 ger  1 14  6  5 29 457  47 852 440   6   0  458   0   0   0   4   1   5   0   0   2   0   0 100
Nico_Williams 23 esp  1  2 19  5 19 376 947 128 654  14   6  926   0   0   0   1  15  17   2   2   2   0   0 100
M_Gibbs-White 26 eng  1  2 18  7 18 858 389 591 850  11   0 1079   0   0   0   0  29  13   1   2   2   0   0 100
D_Augusto     30 bra  1  5 18  6 36 706 471  45 579   6   0  570   1   0   0   3  11   5   0   1   4   0   0 100
A_St-Maximin  29 fra  1  2 17  7 22 411 506 316 685  11   0 1021   0   0   0   0  22  11   2   0   4   0   0 100
N_Dominguez   28 arg  1  4 17  6 26 176 989 145 301   9   0  695   0   0   0   1  18   9   0   2   0   0   0 100
Andre         25 bra  1  6 16  2 34 463 900 501 850  11   0 1081   0   0   0   5  19   4   0   0   2   0   0 100
Eric_Martel   24 ger  1  6 15  2 36 166 259  60 472   8   0  504   0   0   0   0   4   0   0   1   2   0   0 100
Fred          33 bra  1  3 14  5 20 504 833 422 636  15  15  517   0   0   0   0   7   2   0   0   2   0   0 100
C_Pulisic     29 usa  1  3  7 18 24 420 176 582 322  12   4  697   0   0   0   1   4  33   3   0   0   0   0 100
E_Dennis      28 nig  1  3  6 18 28 176 966 643 127   7   0  492   1   0   0   1   5  20   2   1   2   0   0 100
S_Aghehowa    22 spa  1  2  7 17 32 332 119 111 379  15   5 1117   3   0   0   2   9  54   7   1   4   0   0 100
A_Martial     31 fra  1  2  5 14 28 244 945 775 961   1   0   73   0   0   0   0   1   3   0   0   0   0   0 100
J_Donaldson   22 eng  1  3  6 14 30 755 830  71 762   9   9  280   1   0   0   1   4  13   3   0   2   0   0 100
