Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
E_Harrison    20 eng 10  1  2  1 22 707 883  63 521   5   0  473   0  31  10   0   0   0   0   0   0   0   0 100
Fred_Heath    18 eng 10  1  1  1 18 172 335 265 265   3   0  284   0  13   7   0   0   0   0   0   0   0   0 100
Will_Murdock  19 nir 10  1  1  1 20 249 263 268 269   7   0  653   0  33  10   0   0   0   0   0   0   0   0 100
T_Gabriel     21 por  1 12  5  2 37 550 351 204 703   5   0  378   0   0   0   6   4   1   0   0   4   0   0 100
Ezra_Myers    19 eng  1 11  5  1 36 235 120 964 446  11   4  742   0   0   0  14   6   3   0   1   0   0   0 100
Diego_Leon    19 par  1 11  4  4 16 570 124 974 780  15   0 1410   0   0   0  16  12  17   2   0   0   0   0  55
Jorge_Salinas 19 spa  1 11  4  4 26 121 880 883 895   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Fredricson  21 eng  1 10  4  1 38 818 685 406 797   4   0  238   0   0   0   6   1   2   0   0   2   0   0 100
Harry_Amass   19 eng  1 10  4  4 20 172 792 970 870   6   0  559   0   0   0   5   5   1   0   1   0   0   0  70
Louis_Jackson 20 sco  1 10  4  1 36 262  90 888 323   6   0  560   0   0   0  11   2   2   0   1   2   0   0  76
A_Ouedragao   20 ger  1  3 13  4 28 332 836 988 837   5   0  470   0   0   0   0  10   1   0   0   0   0   0  70
Chris_Rigg    18 eng  1  4 12  6 20 660 798 586 208  19   5 1315   1   0   0   4  36  21   3   2   0   0   0  76
F_Coletta     18 ita  1  3 10  4 28 693 705 950 619  14   0 1222   0   0   0   1  26  13   3   1   0   0   0  78
Jack_Fletcher 19 eng  1  2  9  4 20 628 925 906 579   6   1  487   0   0   0   2  14   1   0   4   2   0   0 100
J_Moorhouse   20 ire  1  3  9  4 26 693 678 809 407  11   7  572   0   0   0   0  16   4   1   2   0   0   0 100
Jacob_Devaney 19 ire  1  4  9  2 30 181 861 882 180   4   4  117   0   0   0   1   0   0   0   0   2   0   0 100
S_Inacio      18 ita  1  2  6 12 20 617 331 374 723  16   0 1438   2   0   0   0   8  45   8   0   4   0   0  63
O_Diallo      18 spa  2  2  5 12 20 133 153 610 262  13   0 1193   1   0   0   0   6  43   6   0  12   0   0  55
Conrad_Harder 21 den  1  3  4 12 31 306 705 107 510   1   0   94   0   0   0   2   1   2   0   0   0   0   0 100
T_Thompson    18 eng  1  2  4 11 18 158 273 984 109   2   0  186   1   0   0   0   2  12   1   0   0   0   0 100
Shea_Lacey    19 eng  2  2  4 10 18  73 117 942 842   5   0  452   0   0   0   1   1  19   0   0   0   0   0  83
Kai_Rooney    16 eng  1  1  4 10 16 220 331 954 104   4   1  317   0   0   0   0   2  12   1   0   0   0   0 100
J_J_Gabriel   15 eng  1  3  5  9 26 170 281 716 853   3   3   51   0   0   0   0   0   1   0   0   0   0   0 100
