Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
E_Zanchi      19 ita  9  1  1  1 22 277 793 972 431   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luca_Gobbo    20 ITA  1 11  4  5 18 728 515 390 221   3   0  287   0   0   0   3   3   3   0   1   0   0   0  79
Gabriel_Ramaj 20 alb  1 10  5  1 36 480 746 621 328   2   0  193   0   0   0   5   1   0   0   0   2   0   0  85
P_Parmiggiani 20 ita  1  9  4  2 38 935 653 738  41   3   2  171   0   0   0   5   3   1   0   0   0   0   0  91
Isaac_Isoa    18 ita  1  9  4  1 36 291 933 844 863   2   0  191   0   0   0   4   0   1   0   0   0   0   0  91
M_Arrigoni    20 ita  1  2 11  5 18 538 775 138 497   3   0  264   0   0   0   0   9   3   0   1   0   0   0  85
F_Mencaraglia 20 ita  1  4  9  2 36 603 640 471 211   3   0  193   0   0   0   2   4   0   0   0   0   0   0 100
F_Galafassi   20 ita  1  2  9  4 18 997 148 637 437   3   1  242   0   0   0   0   3   1   0   0   0   0   0  91
Marco_Leandri 19 ita  1  3  9  4 26 180 625 676 731   3   1  210   0   0   0   0   3   4   1   0   0   0   0 100
A_Nusa        19 nor  1  1  5 12 20 570 370 791 108   5   2  332   0   0   0   0   1  14   0   0   0   0   0  79
Henry_Camara  20 gui  1  3  4 10 30 982 998 830 626   2   1  148   0   0   0   0   0   5   1   0   0   0   0 100
