Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Spike_Brits   19 eng 14  1  1  1 18  94 120 150 230   4   0  380   0  41  10   0   0   0   0   0   0   0   0 100
Isaac_Smith   20 eng  1 13  5  1 36 110 340 780 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Mfuni       17 eng  1 13  5  1 26 120   1 964 340   4   0  380   0   0   0   5   4   0   0   0   0   0   0  74
Seb_Naylor    20 eng  1 13  5  4 20 130   9 964 930   4   0  380   0   0   0   6   4   3   0   0   0   0   0  74
D_Almeida     23 spa  1 12  6  4 24 801 949 554 389   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Mitchell 22 eng  1 12  5  4 22 310 468 104  79   4   0  380   0   0   0   3   4   1   0   0   0   0   0  74
J_W-Esbran    22 eng  1 11  5  2 42 393 889  29 670   4   0  380   0   0   0   4   3   0   0   0   0   0   0  74
Alex_Alcala   22 mex  1  1 14  5 18 461 955 569 841   4   0  380   0   0   0   0   9   2   0   1   4   0   0  74
Michael_Okeke 22 hun  1  4 13  4 26 575 678 258 544   4   0  292   0   0   0   2   6   2   1   0   0   0   0 100
Romain_Esse   20 eng  2  2 12  5 20 152 290 305 678   4   0  380   0   0   0   1  12   1   0   1   2   0   0  74
James_McAtee  21 eng  1  4 12  4 22 285 918 591 277   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Oscar_Bobb    23 nor  1  3 12  4 18 541  92 116 607   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tommy_Doyle   22 eng  1  5 11  3 32 384 214 919   5   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Lawrence    22 sco  1  1  5 13 20 328 845 728 353   4   0  380   0   0   0   0   2  15   1   0   0   0   0  74
M_Sangare     18 fra  1  3  5 13 28 100 271 849 879   4   0  380   0   0   0   1   5  13   1   0   4   0   0  74
Z_Gruber      22 hun  1  3  5 12 20 508 752 490 835   4   0  380   0   0   0   1   1  10   1   0   0   0   0  74
Ashton_Muir   20 eng  1  1  5 12 18 220 330 690 960   4   4   88   0   0   0   0   0   5   0   0   0   0   0 100
